Status [1]	Topic	Objective Description	Baseline Value	Baseline Year	Final Value [2]	Final Year	Target	Movement Toward Target [3]	Movement Away From Baseline [4] (if movement not toward target)	Movement Statistically Significant [5][6]
1	Immunization and Infectious Diseases	IID-10.1. Children in kindergarten who received 4 or more doses of DTaP vaccine (percent)	97.2	2009–2010	95.1	2017–2018	95.0	...	...	...
3	Immunization and Infectious Diseases	IID-10.2. Children in kindergarten who received 2 or more doses of MMR vaccine (percent)	95.0	2009–2010	94.3	2017–2018	95.0	...	0.7	...
3	Immunization and Infectious Diseases	IID-10.3. Children in kindergarten who received 3 or more doses of polio vaccine (percent)	96.2	2009–2010	94.2	2017–2018	95.0	...	2.1	...
1	Immunization and Infectious Diseases	IID-10.4. Children in kindergarten who received 3 or more doses of hepatitis B vaccine (percent)	97.0	2009–2010	96.0	2017–2018	95.0	...	...	...
2	Immunization and Infectious Diseases	IID-10.5. Children in kindergarten who received 2 or more doses of varicella vaccine (percent)	91.3	2009–2010	93.8	2017–2018	95.0	67.6	...	...
1	Immunization and Infectious Diseases	IID-11.1. Adolescents receiving 1 or more doses of Tdap booster vaccine by ages 13–15 years (percent)	85.3	2012	88.2	2018	80.0	...	...	...
1	Immunization and Infectious Diseases	IID-11.2. Adolescents receiving 2 or more doses of varicella vaccine by ages 13–15 (percent)	76.8	2012	91.1	2018	90.0	108.3	...	Yes
1	Immunization and Infectious Diseases	IID-11.3. Adolescents receiving 1 or more doses of meningococcal vaccine by ages 13–15 (percent)	73.8	2012	86.2	2018	80.0	200.0	...	Yes
2	Immunization and Infectious Diseases	IID-11.4. Female adolescents receiving 2 or 3 doses of HPV vaccine by ages 13–15 (percent)	45.1	2016	48.9	2018	80.0	10.9	...	Yes
2	Immunization and Infectious Diseases	IID-11.5. Male adolescents receiving 2 or 3 doses of HPV vaccine by ages 13–15 (percent)	36.4	2016	47.1	2018	80.0	24.5	...	Yes
2	Immunization and Infectious Diseases	IID-12.8. Institutionalized adults in long-term or nursing homes vaccinated against seasonal influenza (percent, ages 18 and over)	71.4	2005–2006	73.7	2016–2017	90.0	12.4	...	...
2	Immunization and Infectious Diseases	IID-12.11. Children vaccinated against seasonal influenza (percent, ages 6 months–17 years)	46.9	2010–2011	49.7	2016–2017	70.0	12.1	...	Yes
2	Immunization and Infectious Diseases	IID-12.12. Noninstitutionalized adults vaccinated against seasonal influenza (percent, ages 18 and over)	38.1	2010–2011	45.2	2016–2017	70.0	22.3	...	Yes
2	Immunization and Infectious Diseases	IID-12.13. Health care personnel vaccinated against seasonal influenza (percent, ages 18 and over)	55.8	2010–2011	70.0	2016–2017	90.0	41.5	...	Yes
2	Immunization and Infectious Diseases	IID-12.14. Pregnant women vaccinated against seasonal influenza (percent, ages 18–49)	40.4	2012–2013	53.5	2016–2017	80.0	33.1	...	Yes
2	Immunization and Infectious Diseases	IID-13.1. Noninstitutionalized adults vaccinated against pneumococcal disease (percent, ages 65 and over)	60.0	2008	69.0	2017	90.0	30.0	...	Yes
2	Immunization and Infectious Diseases	IID-13.2. Noninstitutionalized high-risk adults vaccinated against pneumococcal disease (percent, ages 18–64)	16.6	2008	24.3	2017	60.0	17.7	...	Yes
3	Immunization and Infectious Diseases	IID-13.3. Adults in long-term care or nursing homes vaccinated against pneumococcal disease (percent, 18+ years)	70.8	2015	69.8	2016	90.0	...	1.4	...
1	Immunization and Infectious Diseases	IID-14. Adults vaccinated against zoster (shingles) (percent, ages 60 and over)	6.7	2008	34.9	2017	30.0	121.0	...	Yes
4	Immunization and Infectious Diseases	IID-15.3. Health care personnel vaccinated against hepatitis B (percent)	64.3	2008	60.4	2017	90.0	...	6.1	Yes
2	Immunization and Infectious Diseases	IID-17.1. Public health providers who had their childhood vaccine coverage levels measured (percent)	40.0	2009	46.6	2013	50.0	66.0	...	...
2	Immunization and Infectious Diseases	IID-17.2. Private providers who had their childhood vaccine coverage levels measured (percent)	33.0	2009	36.7	2013	50.0	21.8	...	...
2	Immunization and Infectious Diseases	IID-18. Children participating in population-based immunization information systems (percent, under age 6 years)	75.0	2008	89.7	2013	95.0	73.5	...	...
3	Immunization and Infectious Diseases	IID-19. States collecting kindergarten vaccination coverage data per Centers for Disease Control and Prevention minimum standards (number of states and District of Columbia)	11	2009–2010	10	2017–2018	51	...	9.1	...
2	Immunization and Infectious Diseases	IID-20. States with 80% of adolescents aged 11–18 having 2 or more age-appropriate immunizations in an immunization information system (number of states, District of Columbia, and other reporting areas)	11	2012	15	2013	40	13.8	...	...
2	Immunization and Infectious Diseases	IID-21. States using electronic rabies animal surveillance data to inform public health prevention programs (number of states)	8	2010	14	2014	52	13.6	...	...
2	Immunization and Infectious Diseases	IID-22. Public health laboratories monitoring influenza-virus resistance to antiviral agents (number)	3	2009	22	2016	25	86.4	...	...
2	Immunization and Infectious Diseases	IID-23. New cases of hepatitis A (per 100,000 population)	1.0	2007	0.6	2016	0.3	57.1	...	...
5	Immunization and Infectious Diseases	IID-24. Chronic perinatal hepatitis B virus infections (number, ages 1–24 months)	799	2007	...		400	...	...	...
1	Immunization and Infectious Diseases	IID-25.1. New hepatitis B infections in adults (per 100,000 population, ages 19 and over)	2.0	2007	1.3	2016	1.5	140.0	...	...
4	Immunization and Infectious Diseases	IID-25.2. New hepatitis B infections in injection drug users (number)	285	2007	472	2016	215	...	65.6	...
1	Immunization and Infectious Diseases	IID-25.3. New hepatitis B infections in men who have sex with men (number)	62	2007	9	2016	45	311.8	...	...
4	Immunization and Infectious Diseases	IID-26. New cases of hepatitis C (per 100,000 population)	0.28	2007	0.98	2016	0.25	...	250.0	...
2	Immunization and Infectious Diseases	IID-27. Persons with hepatitis C who are aware of their infection (percent)	53.0	2003–2008	55.6	2013–2016	60.0	37.1	...	...
2	Immunization and Infectious Diseases	IID-29. New cases of tuberculosis (per 100,000 population)	4.8	2005	2.8	2017	1.0	52.6	...	...
2	Immunization and Infectious Diseases	IID-30. Tuberculosis patients completing curative therapy within 12 months (percent)	81.9	2005	84.6	2015	93.0	24.3	...	...
2	Immunization and Infectious Diseases	IID-31. Persons who were diagnosed with latent tuberculosis infection and started treatment who complete a course of treatment (percent)	68.1	2007	75.3	2015	79.0	66.1	...	...
2	Immunization and Infectious Diseases	IID-32. Patients with tuberculosis who had their laboratory tests confirmed within 2 days of specimen collection (percent)	32.0	2008	43.0	2017	77.0	24.4	...	...
1	Immunization and Infectious Diseases	IID-33. Tuberculosis patients tested for HIV (percent, ages 25–44)	73.3	2008	93.2	2017	80.6	272.6	...	...
4	Injury and Violence Prevention	IVP-1.1. Injury deaths (age adjusted, per 100,000 population)	59.7	2007	71.5	2017	53.7	...	19.8	Yes
3	Injury and Violence Prevention	IVP-1.2. Nonfatal injury hospitalizations (age adjusted, per 100,000 population)	617.6	2007	598.6	2010	555.8	30.7	...	No
4	Injury and Violence Prevention	IVP-1.3. Emergency department visits for nonfatal injuries (age adjusted, per 100,000 population)	8,370.4	2007	10,074.2	2015	7,533.4	...	20.4	Yes
3	Injury and Violence Prevention	IVP-2.1. Traumatic brain injury deaths (age adjusted, per 100,000 population)	17.4	2007	17.5	2017	15.7	...	0.6	No
3	Injury and Violence Prevention	IVP-2.2. Nonfatal traumatic brain injury hospitalizations (age adjusted, per 100,000 population)	85.6	2007	96.6	2010	77.0	...	12.9	No
4	Injury and Violence Prevention	IVP-2.3. Emergency department visits for nonfatal traumatic brain injuries (age adjusted, per 100,000 population)	407.2	2007	791.0	2015	366.5	...	94.3	Yes
1	Injury and Violence Prevention	IVP-3.1. Spinal cord injury deaths (age adjusted, per 100,000 population)	0.53	2007	0.48	2017	0.48	100.0	...	Yes
3	Injury and Violence Prevention	IVP-3.2. Nonfatal spinal cord injury hospitalizations (age adjusted, per 100,000 population)	3.6	2007	4.2	2009	3.2	...	16.7	No
2	Injury and Violence Prevention	IVP-6. Statewide emergency department systems collecting external-cause-of-injury codes (percent, states and District of Columbia)	67.9	2008	76.7	2013	85.0	51.5	...	...
2	Injury and Violence Prevention	IVP-7. Statewide hospital discharge systems collecting external-cause-of-injury codes (percent, states and District of Columbia)	64.3	2008	68.2	2013	85.0	18.8	...	...
4	Injury and Violence Prevention	IVP-9.1. Poisoning deaths (age adjusted, per 100,000 population)	13.2	2007	23.2	2017	13.2	...	75.8	Yes
4	Injury and Violence Prevention	IVP-9.2. Poisoning deaths (per 100,000 population, ages 35–54)	25.6	2007	41.0	2017	25.6	...	60.2	Yes
4	Injury and Violence Prevention	IVP-9.3. Poisoning deaths of unintentional or undetermined intent (age adjusted, per 100,000 population)	11.1	2007	21.3	2017	11.1	...	91.9	Yes
4	Injury and Violence Prevention	IVP-9.4. Poisoning deaths of unintentional or undetermined intent (per 100,000 population, ages 35–54)	21.6	2007	37.7	2017	21.6	...	74.5	Yes
4	Injury and Violence Prevention	IVP-10. Emergency department visits for nonfatal poisonings (age adjusted, per 100,000 population)	304.8	2008	624.1	2017	304.8	...	104.8	Yes
4	Injury and Violence Prevention	IVP-11. Unintentional injury deaths (age adjusted, per 100,000 population)	40.4	2007	49.4	2017	36.4	...	22.3	Yes
3	Injury and Violence Prevention	IVP-12. Emergency department visits for nonfatal unintentional injuries (age adjusted, per 100,000 population)	9,233.5	2008	8,621.1	2017	8,310.1	66.3	...	No
1	Injury and Violence Prevention	IVP-13.1. Motor vehicle crash deaths (age adjusted, per 100,000 population)	13.8	2007	11.5	2017	12.4	164.3	...	Yes
1	Injury and Violence Prevention	IVP-13.2. Motor vehicle crash deaths on public roads (per 100 million vehicle miles)	1.3	2008	1.2	2017	1.2	100.0	...	...
3	Injury and Violence Prevention	IVP-14. Nonfatal motor vehicle crash injuries on public roads (per 100,000 population)	771.4	2008	761.4	2015	694.3	13.0	...	No
2	Injury and Violence Prevention	IVP-15. Persons using safety belts (percent)	84	2009	90	2018	92	75.0	...	Yes
3	Injury and Violence Prevention	IVP-16.1. Rear-facing child safety seat use in children (percent, ages 0–12 months)	86	2008	92	2017	95	66.7	...	No
3	Injury and Violence Prevention	IVP-16.2. Front-facing child safety seat use in children (percent, ages 1–3 years)	72	2008	71	2017	79	...	1.4	No
3	Injury and Violence Prevention	IVP-16.3. High-backed or backless booster seat use in children (percent, ages 4–7 years)	43	2008	40	2017	47	...	7.0	No
3	Injury and Violence Prevention	IVP-16.4. Seat belt use in children (percent, ages 8–12 years)	78	2008	75	2017	86	...	3.8	No
4	Injury and Violence Prevention	IVP-18. Pedestrian deaths on public roads (per 100,000 population)	1.5	2008	1.8	2017	1.4	...	20.0	...
3	Injury and Violence Prevention	IVP-19. Nonfatal pedestrian injuries on public roads (per 100,000 population)	22.6	2008	21.7	2015	20.3	39.1	...	No
3	Injury and Violence Prevention	IVP-20. Pedalcyclist deaths on public roads (per 100,000 population)	0.24	2008	0.24	2017	0.22	...	0.0	...
3	Injury and Violence Prevention	IVP-21. Bicycle helmet laws for riders under age 15 years (number of states and District of Columbia)	19	2009	19	2016	27	...	0.0	...
3	Injury and Violence Prevention	IVP-22. Helmet use by motorcycle operators and passengers (percent)	67	2009	71	2018	74	57.1	...	No
4	Injury and Violence Prevention	IVP-23.1. Deaths from unintentional falls (age adjusted, per 100,000 population)	7.2	2007	9.4	2017	7.2	...	30.6	Yes
4	Injury and Violence Prevention	IVP-23.2. Deaths from unintentional falls (age adjusted, per 100,000 population, ages 65 and over)	47.0	2007	63.3	2017	47.0	...	34.7	Yes
3	Injury and Violence Prevention	IVP-24.1. Unintentional suffocation deaths (age adjusted, per 100,000 population)	2.0	2007	1.9	2017	1.8	50.0	...	No
4	Injury and Violence Prevention	IVP-24.2. Unintentional suffocation deaths (per 100,000 population, ages 0–12 months)	23.1	2007	28.1	2017	20.8	...	21.6	Yes
2	Injury and Violence Prevention	IVP-24.3. Unintentional suffocation deaths (age adjusted, per 100,000 population, ages 65 and over)	8.3	2007	7.9	2017	7.5	50.0	...	Yes
3	Injury and Violence Prevention	IVP-25. Drowning deaths (age adjusted, per 100,000 population)	1.2	2007	1.2	2017	1.1	...	0.0	...
3	Injury and Violence Prevention	IVP-26. Medically consulted sports and recreation injuries (age adjusted, per 1,000 population)	46.6	2008	49.3	2017	41.9	...	5.8	No
2	Injury and Violence Prevention	IVP-27.1. Schools requiring students to wear appropriate protective gear for physical education (percent)	76.8	2006	84.2	2014	84.5	96.1	...	Yes
2	Injury and Violence Prevention	IVP-27.2. Schools requiring students to wear appropriate protective gear for intramural activities and physical activity clubs (percent)	85.8	2006	93.1	2014	94.4	84.9	...	Yes
1	Injury and Violence Prevention	IVP-28. Residential fire deaths (age adjusted, per 100,000 population)	0.95	2007	0.67	2017	0.86	311.1	...	Yes
3	Injury and Violence Prevention	IVP-29. Homicides (age adjusted, per 100,000 population)	6.1	2007	6.2	2017	5.5	...	1.6	No
4	Injury and Violence Prevention	IVP-30. Firearm-related deaths (age adjusted, per 100,000 population)	10.3	2007	12.0	2017	9.3	...	16.5	Yes
3	Injury and Violence Prevention	IVP-31. Emergency department visits for nonfatal firearm-related injuries (per 100,000 population)	20.7	2007	26.3	2015	18.6	...	27.1	No
3	Injury and Violence Prevention	IVP-32. Emergency department visits for nonfatal physical assault injuries (age adjusted, per 100,000 population)	512.5	2008	511.1	2017	461.2	2.7	...	No
1	Injury and Violence Prevention	IVP-33. Physical assaults (per 1,000 population, ages 12 years and over)	21.3	2008	14.8	2015	19.2	309.5	...	Yes
1	Injury and Violence Prevention	IVP-34. Physical fighting among adolescents (percent, grades 9–12)	31.5	2009	23.6	2017	28.4	254.8	...	Yes
3	Injury and Violence Prevention	IVP-35. Bullying among adolescents (percent, grades 9–12)	19.9	2009	19.0	2017	17.9	45.0	...	No
1	Injury and Violence Prevention	IVP-36. Weapon carrying by adolescents on school property (percent, grades 9–12)	5.6	2009	3.8	2017	4.6	180.0	...	Yes
3	Injury and Violence Prevention	IVP-37. Child maltreatment deaths (per 100,000 population, under age 18 years)	2.3	2008	2.4	2017	2.1	...	4.3	...
2	Injury and Violence Prevention	IVP-38. Nonfatal child maltreatment (per 1,000 population, under age 18 years)	9.4	2008	9.0	2017	8.5	44.4	...	...
3	Injury and Violence Prevention	IVP-41. Emergency department visits for nonfatal, intentional self-harm injuries (age adjusted, per 100,000 population)	124.9	2008	157.2	2017	112.4	...	25.9	No
3	Injury and Violence Prevention	IVP-42. Children exposed to violence (percent, ages 17 years and under)	58.9	2008	56.6	2013–2014	53.0	39.0	...	No
1	Injury and Violence Prevention	IVP-43. Linkage of violent death data from death certificates, law enforcement, and coroner and medical examiner reports (number of states and District of Columbia)	16	2009	51	2018	51	100.0	...	...
2	Lesbian, Gay, Bisexual, and Transgender Health	LGBT-1.1. Data systems in Healthy People 2020 collecting data on lesbian, gay, and bisexual populations (number)	6	2008	8	2017	12	33.3	...	...
3	Lesbian, Gay, Bisexual, and Transgender Health	LGBT-1.3. Data systems in Healthy People 2020 collecting data on transgender populations (number)	2	2008	2	2017	4	...	0.0	...
3	Lesbian, Gay, Bisexual, and Transgender Health	LGBT-2.1. Questions on sexual orientation and gender identity in the Behavioral Risk Factor Surveillance System (number)	31	2014	31	2017	54	…	0.0	...
3	Lesbian, Gay, Bisexual, and Transgender Health	LGBT-2.2. Used provided module on sexual orientation and gender identity in the Behavioral Risk Factor Surveillance System (number)	20	2014	20	2017	22	…	0.0	...
2	Lesbian, Gay, Bisexual, and Transgender Health	LGBT-2.3. Used provided module on sexual orientation and gender identity in the Youth Risk Behavior Surveillance System (number)	28	2015	30	2017	31	66.7	...	...
2	Maternal, Infant, and Child Health	MICH-1.1. Fetal deaths (per 1,000 live births plus fetal deaths, 20 weeks of gestation or more)	6.2	2005	5.9	2017	5.6	50.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.2. Perinatal deaths (per 1,000 live births plus fetal deaths, 28 weeks gestation to less than 7 days after birth)	6.6	2005	5.9	2017	5.9	100.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.3. All Infant deaths (per 1,000 live births, under age 1 year)	6.7	2006	5.8	2017	6.0	128.6	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.4. Neonatal deaths (per 1,000 live births, under age 28 days)	4.5	2006	3.9	2017	4.1	150.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.5. Postneonatal deaths (per 1,000 live births, 28 days to under age 1 year)	2.2	2006	1.9	2017	2.0	150.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.6. Infant deaths due to birth defects (per 1,000 live births, under age 1 year)	1.4	2006	1.2	2017	1.3	200.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.7. Infant deaths due to congenital heart defects (per 1,000 live births, under age 1 year)	0.38	2006	0.31	2017	0.34	175.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-1.8. Infant deaths due to sudden infant death syndrome (per 1,000 live births, under age 1 year)	0.55	2006	0.35	2017	0.50	400.0	...	Yes
3	Maternal, Infant, and Child Health	MICH-1.9. Infant deaths due to sudden unexpected or unexplained causes (per 1,000 live births, under age 1 year)	0.93	2006	0.93	2017	0.84	...	0.0	...
3	Maternal, Infant, and Child Health	MICH-2. Deaths among infants with Down syndrome (per 1,000 population, under age 1 year)	48.6	2005–2006	48.8	2009–2010	43.7	...	0.4	...
1	Maternal, Infant, and Child Health	MICH-3.1. Child deaths (per 100,000 population, ages 1–4 years)	29.4	2007	24.3	2017	26.5	175.9	...	Yes
1	Maternal, Infant, and Child Health	MICH-3.2. Child deaths (per 100,000 population, ages 5–9 years)	13.8	2007	11.6	2017	12.4	157.1	...	Yes
2	Maternal, Infant, and Child Health	MICH-4.1. Adolescent deaths (per 100,000 population, ages 10–14)	16.5	2007	15.5	2017	14.8	58.8	...	Yes
1	Maternal, Infant, and Child Health	MICH-4.2. Adolescent deaths (per 100,000 population, ages 15–19)	60.3	2007	51.5	2017	54.3	146.7	...	Yes
2	Maternal, Infant, and Child Health	MICH-4.3. Young adult deaths (per 100,000 population, ages 20–24)	98.1	2007	95.6	2017	88.3	25.5	...	Yes
5	Maternal, Infant, and Child Health	MICH-5. Maternal deaths (per 100,000 live births)	12.7	2007	...		11.4	...	...	...
3	Maternal, Infant, and Child Health	MICH-6. Maternal complications during hospitalized labor and delivery (per 100 deliveries)	31.1	2007	31.3	2010	28.0	...	0.6	No
2	Maternal, Infant, and Child Health	MICH-7.1. Cesarean births among low-risk women with no prior births (percent)	27.4	2007	26.0	2017	24.7	51.9	...	Yes
5	Maternal, Infant, and Child Health	MICH-7.2. Cesarean births among low-risk women with a prior cesarean birth (percent)	90.8	2007	...		81.7	...	...	...
4	Maternal, Infant, and Child Health	MICH-8.1. Low birth weight infants (percent, less than 2,500 grams)	8.2	2007	8.3	2017	7.8	...	1.2	Yes
1	Maternal, Infant, and Child Health	MICH-8.2.Very low birth weight infants (percent, less than 1,500 grams)	1.5	2007	1.4	2017	1.4	100.0	...	Yes
2	Maternal, Infant, and Child Health	MICH-9.1. Total preterm live births (percent, less than 37 weeks gestation)	10.4	2007	9.9	2017	9.4	50.0	...	Yes
2	Maternal, Infant, and Child Health	MICH-9.2. Late preterm live births (percent, 34–36 weeks gestation)	7.5	2007	7.2	2017	6.8	42.9	...	Yes
3	Maternal, Infant, and Child Health	MICH-9.3. Preterm live births (percent, 32–33 weeks gestation)	1.2	2007	1.2	2017	1.1	...	0.0	...
2	Maternal, Infant, and Child Health	MICH-9.4. Very preterm live births (percent, less than 32 weeks gestation)	1.7	2007	1.6	2017	1.5	50.0	...	Yes
2	Maternal, Infant, and Child Health	MICH-10.1. Pregnant women beginning prenatal care in the first trimester (percent)	77.1	2016	77.5	2018	84.8	5.2	...	Yes
2	Maternal, Infant, and Child Health	MICH-10.2. Pregnant women receiving early and adequate prenatal care (percent)	75.6	2016	76.4	2018	83.2	10.5	...	Yes
3	Maternal, Infant, and Child Health	MICH-11.1. Pregnant women abstaining from alcohol in past 30 days (percent, ages 15–44)	89.4	2007–2008	89.3	2017–2018	98.3	...	0.1	No
3	Maternal, Infant, and Child Health	MICH-11.2. Pregnant women abstaining from binge drinking in past 30 days (percent, ages 15–44)	95.5	2015–2016	95.0	2017–2018	100.0	...	0.5	No
2	Maternal, Infant, and Child Health	MICH-11.3. Pregnant women abstaining from cigarette smoking (percent)	92.8	2016	93.5	2018	98.6	12.1	...	Yes
3	Maternal, Infant, and Child Health	MICH-11.4. Pregnant women abstaining from illicit drug use in the past 30 days (percent, ages 15–44)	94.5	2015–2016	93.0	2017–2018	100.0	...	1.6	No
3	Maternal, Infant, and Child Health	MICH-14. Nonpregnant women consuming 400 µg or more of folic acid daily (percent, ages 15–44)	23.8	2003–2006	21.1	2011–2014	26.2	...	11.3	No
1	Maternal, Infant, and Child Health	MICH-15. Nonpregnant women who have lower (below the 25th percentile) red blood cell folate concentrations (percent, ages 15–44)	24.9	2007–2010	21.6	2011–2014	22.4	132.0	...	No
3	Maternal, Infant, and Child Health	MICH-16.1. Mothers receiving preconception counseling (percent)	24.5	2012	24.8	2014	27.0	12.0	...	No
1	Maternal, Infant, and Child Health	MICH-16.2. Mothers who took daily multivitamins or folic acid in the month prior to pregnancy (percent)	30.3	2007	34.7	2016	33.3	146.7	...	Yes
2	Maternal, Infant, and Child Health	MICH-16.3. Mothers who did not smoke in the 3 months prior to pregnancy (percent)	79.8	2011	84.4	2016	87.8	57.5	...	Yes
4	Maternal, Infant, and Child Health	MICH-16.4. Mothers who did not drink alcohol in the 3 months prior to pregnancy (percent)	50.6	2007	45.8	2016	55.6	...	9.5	Yes
4	Maternal, Infant, and Child Health	MICH-16.5. Mothers having a healthy weight prior to pregnancy (percent)	52.5	2007	48.1	2016	57.8	...	8.4	Yes
4	Maternal, Infant, and Child Health	MICH-16.6. Mothers using most effective or moderately effective postpartum contraception (percent)	53.2	2012	51.7	2016	58.5	...	2.8	Yes
3	Maternal, Infant, and Child Health	MICH-17.1. Women with impaired fecundity (percent, ages 18–44)	12.7	2002	13.2	2015–2017	11.4	...	3.9	No
1	Maternal, Infant, and Child Health	MICH-18. Relapse after delivery among smokers who quit during pregnancy (percent)	42.4	2011	38.1	2016	38.2	102.4	...	Yes
4	Maternal, Infant, and Child Health	MICH-19. Mothers attending a postpartum care visit (percent)	90.1	2012	89.5	2016	90.8	...	0.7	Yes
1	Maternal, Infant, and Child Health	MICH-20. Infants put to sleep on their backs (percent, under age 8 months)	68.9	2007	78.8	2016	75.8	143.5	...	Yes
1	Maternal, Infant, and Child Health	MICH-21.1. Infants ever breastfed (percent)	76.1	2009	83.2	2015	81.9	122.4	...	Yes
2	Maternal, Infant, and Child Health	MICH-21.2. Infants breastfed at 6 months (percent)	46.6	2009	57.6	2015	60.6	78.6	...	Yes
1	Maternal, Infant, and Child Health	MICH-21.3. Infants breastfed at 1 year (percent)	24.6	2009	35.9	2015	34.1	118.9	...	Yes
1	Maternal, Infant, and Child Health	MICH-21.4. Infants breastfed exclusively through 3 months (percent)	35.9	2009	46.9	2015	46.2	106.8	...	Yes
2	Maternal, Infant, and Child Health	MICH-21.5. Infants breastfed exclusively through 6 months (percent)	15.6	2009	24.9	2015	25.5	93.9	...	Yes
1	Maternal, Infant, and Child Health	MICH-22. Employers having worksite lactation support programs (percent)	25	2009	49	2018	38	184.6	...	...
2	Maternal, Infant, and Child Health	MICH-23. Breastfed newborns receiving formula supplementation in the first 2 days of life (percent)	23.3	2009	17.2	2015	14.2	67.0	...	Yes
1	Maternal, Infant, and Child Health	MICH-24. Live births in facilities providing recommended care for lactating mothers and babies (percent)	2.9	2009	26.1	2018	8.1	446.2	...	...
6	Maternal, Infant, and Child Health	MICH-25. Fetal alcohol syndrome (per 10,000 live births)	3.6	2001–2004	...		...	...	...	...
1	Maternal, Infant, and Child Health	MICH-26. Children with disorders diagnosed through a newborn bloodspot who require special education services for developmental delays (percent, ages 3–10 years)	15.1	1988–1996	12.9	2002–2005	13.6	146.7	...	No
3	Maternal, Infant, and Child Health	MICH-27.1. Children aged 8 years with cerebral palsy born low birth weight (percent, less than 2,500 grams)	50.0	2006	47.0	2010	45.0	60.0	...	No
3	Maternal, Infant, and Child Health	MICH-27.2. Children aged 8 years with cerebral palsy were born very low birth weight (percent, less than 1,500 grams)	32.5	2006	26.5	2010	25.7	88.2	...	No
1	Maternal, Infant, and Child Health	MICH-28.1. Cases of spina bifida (per 100,000 live births)	34.2	2005–2006	30.5	2010	30.8	108.8	...	...
1	Maternal, Infant, and Child Health	MICH-28.2. Cases of anencephaly (per 100,000 live births)	24.6	2005–2006	12.8	2010	22.1	472.0	...	...
1	Maternal, Infant, and Child Health	MICH-29.1. Children screened for autism and other developmental delays in the past year (percent, ages 10–35 months)	22.6	2007	38.0	2011–2012	24.9	669.6	...	Yes
3	Maternal, Infant, and Child Health	MICH-29.2. Children with autism spectrum disorder receiving a first evaluation by age 36 months (percent, age 8 years)	42.7	2006	41.9	2014	47.0	...	1.9	No
3	Maternal, Infant, and Child Health	MICH-29.3. Children with autism spectrum disorder receiving special services by age 48 months (percent, Metropolitan Atlanta, age 8 years)	52.4	2006	48.5	2014	57.6	...	7.4	No
4	Maternal, Infant, and Child Health	MICH-30.1. Children having a medical home (percent, ages under 18 years)	57.5	2007	54.4	2011–2012	63.3	...	5.4	Yes
4	Maternal, Infant, and Child Health	MICH-30.2. Children with special health care needs having a medical home (percent, ages under 18 years)	47.1	2005–2006	43.0	2009–2010	51.8	...	8.7	Yes
3	Maternal, Infant, and Child Health	MICH-31.1. Children with special health care needs receiving care in family-centered, coordinated systems (percent, ages 0–11 years)	20.4	2005–2006	20.1	2009–2010	22.4	...	1.5	No
3	Maternal, Infant, and Child Health	MICH-31.2. Children with special health care needs receiving care in family-centered, coordinated systems (percent, ages 12–17 years)	13.8	2005–2006	13.6	2009–2010	15.1	...	1.4	No
5	Maternal, Infant, and Child Health	MICH-32.1. Statewide vital records linkage systems to verify newborn screening (number of states and District of Columbia)	21	2010	...		45	...	...	...
4	Maternal, Infant, and Child Health	MICH-32.2. Screen-positive children receiving follow-up testing within recommended time period (percent)	98.3	2003–2006	86.3	2010	100.0	...	12.2	...
3	Maternal, Infant, and Child Health	MICH-33. Very low birth weight infants born at Level III hospitals (percent)	75.0	2003–2006	74.5	2010	83.7	...	0.7	...
1	Medical Product Safety	MPS-1. Hospitals reporting adverse drug events (percent)	60.7	2009	81.5	2018	66.8	341.0	…	Yes
6	Medical Product Safety	MPS-2.4.1. Drug overdose deaths involving natural, semisynthetic, and synthetic opioids, excluding heroin (per 100,000 population)	5.4	2010	12.5	2017	…	…	…	…
6	Medical Product Safety	MPS-2.4.2. Drug overdose deaths involving natural and semisynthetic opioids, excluding heroin (per 100,000 population)	3.5	2010	4.4	2017	…	…	…	…
6	Medical Product Safety	MPS-2.4.3. Drug overdose deaths involving methadone (per 100,000 population)	1.5	2010	1.0	2017	…	…	…	…
6	Medical Product Safety	MPS-2.4.4. Drug overdose deaths involving synthetic opioids, excluding methadone (per 100,000 population)	1.0	2010	9.0	2017	…	…	…	…
1	Medical Product Safety	MPS-4. Safe and effective medical products associated with predictive biomarkers (number)	35	2014	65	2018	39	750.0	…	…
3	Medical Product Safety	MPS-5.1. Emergency department visits for overdoses from oral anticoagulants (per 10,000 outpatient prescription visits)	35.9	2006–2007	36.9	2008–2009	32.3	…	2.8	No
1	Medical Product Safety	MPS-5.2. Emergency department visits for overdoses from injectable antidiabetic  agents (per 10,000 outpatient prescription visits)	43.4	2006–2007	34.2	2008–2009	39.1	214.0	…	No
1	Medical Product Safety	MPS-5.3. Emergency department visits for overdoses from narrow-therapeutic-index medications (per 10,000 outpatient prescription visits)	8.9	2006–2007	7.6	2008–2009	8.0	144.4	…	No
1	Medical Product Safety	MPS-5.4. Emergency department visits for medication overdoses in children (per 10,000 population, under age 5 years)	32.7	2007–2008	27.1	2015–2016	29.4	169.7	…	No
